symbol,count,mean_age_ms,p50_age_ms,p95_age_ms,max_age_ms
BTC-USDT,134251,184.383036,3.000000,1079.000000,11093.000000
ETH-USDT,45927,1469.413156,294.000000,6744.000000,12065.000000
USDT-EUR,13237,6481.490141,4810.000000,20276.400000,29937.000000
KCS-USDT,7012,24142.245009,17869.000000,72360.750000,92635.000000
XMR-USDT,6461,270.620028,0.000000,1445.000000,10981.000000
TRX-USDT,5284,3108.350114,102.500000,16012.250000,54944.000000
XRP-USDT,5153,573.058413,0.000000,3180.800000,13546.000000
TRAC-USDT,4748,821.966512,88.000000,3708.650000,4946.000000
TEL-USDT,4568,1449.397110,231.500000,6691.650000,24535.000000
CRO-USDT,4205,954.870630,0.000000,6472.000000,36649.000000
DASH-USDT,3860,936.267358,186.500000,4491.500000,15096.000000
FET-USDT,3826,2553.121014,876.000000,9937.500000,35845.000000
ADA-USDT,3382,1077.983737,93.000000,6120.800000,17635.000000
A-USDT,3297,11587.299970,3350.000000,47044.200000,74769.000000
LTC-USDT,3280,2751.946341,518.500000,12924.600000,37551.000000
DOGE-USDT,3227,1664.594670,299.000000,8099.800000,19022.000000
ONT-USDT,3182,2860.648649,304.500000,15968.150000,45882.000000
XLM-USDT,3156,2693.155260,677.000000,12972.500000,26922.000000
ZEC-USDT,3137,409.078738,103.000000,1702.000000,5763.000000
KLV-USDT,2998,9341.840894,1012.500000,43369.950000,100423.000000
USDT-BRL,2960,5823.273649,1785.000000,22644.100000,29627.000000
AAVE-USDT,2934,726.621677,60.000000,3351.250000,17462.000000
ATOM-USDT,2917,3957.907096,820.000000,19263.600000,33202.000000
ETC-USDT,2915,7801.030532,3281.000000,31031.200000,69470.000000
BNB-USDT,2840,2066.162676,151.000000,10846.450000,28239.000000
SNX-USDT,2763,13321.624683,3708.000000,51706.600000,92276.000000
BCH-USDT,2639,1806.641531,187.000000,12328.300000,33767.000000
DAG-USDT,2552,202.728448,1.000000,1165.450000,3947.000000
WAN-USDT,2538,2367.610717,361.000000,11372.400000,47071.000000
AVA-USDT,2481,21111.272068,10672.000000,92612.000000,148803.000000
XDC-USDT,2473,9601.469066,1889.000000,72727.400000,109694.000000
DOT-USDT,2412,4509.444859,936.000000,22265.900000,34523.000000
ALGO-USDT,2335,16150.929764,11576.000000,49410.800000,70607.000000
LINK-USDT,2303,2189.656969,430.000000,10390.400000,29071.000000
KNC-USDT,2254,15615.567879,11139.000000,48742.700000,60132.000000
BCHSV-USDT,2252,33756.617673,22444.500000,95870.950000,132494.000000
HBAR-USDT,2235,1415.290828,404.000000,6270.800000,14839.000000
TWT-USDT,2189,3992.178164,342.000000,24024.000000,55449.000000
IOTX-USDT,2179,114630.303809,77427.000000,336162.100000,377727.000000
VET-USDT,2136,22733.542603,14517.000000,74177.000000,124283.000000
AVAX-USDT,2049,4475.854563,1168.000000,20233.000000,38417.000000
WIN-USDT,1976,261967.100202,253243.500000,562410.250000,616145.000000
XYO-USDT,1956,210643.005624,182568.500000,471577.000000,514393.000000
KAS-USDT,1845,8186.925203,1384.000000,35684.000000,66147.000000
LYX-USDT,1784,707.701794,146.000000,2924.850000,4928.000000
POND-USDT,1779,2886.165261,1611.000000,9967.900000,22252.000000
NEO-USDT,1771,7409.743083,4309.000000,25412.000000,42286.000000
NEAR-USDT,1768,6288.713801,3005.000000,25013.850000,41864.000000
INJ-USDT,1734,13566.032295,8512.000000,46376.500000,70020.000000
CHZ-USDT,1691,7331.292135,4316.000000,25087.000000,38056.000000
ICP-USDT,1688,19073.202014,12890.000000,63357.300000,86653.000000
EWT-USDT,1629,36705.184776,21725.000000,124808.400000,166581.000000
RUNE-USDT,1582,45370.166245,28123.000000,137098.450000,161469.000000
RSR-USDT,1538,28226.871912,16477.500000,90603.950000,118968.000000
XTZ-USDT,1535,31399.332248,26846.000000,85308.700000,120090.000000
STX-USDT,1531,15982.757675,8845.000000,59100.000000,79020.000000
RLC-USDT,1527,19100.690242,14608.000000,54281.300000,60574.000000
COTI-USDT,1527,43346.136870,35017.000000,113586.100000,169910.000000
IOTA-USDT,1521,26117.428008,18880.000000,73068.000000,97117.000000
PAXG-USDT,1512,29770.554894,21175.500000,85343.900000,118669.000000
EGLD-USDT,1505,46724.238538,35848.000000,126991.400000,168160.000000
AR-USDT,1501,36945.614923,22933.000000,118840.000000,170726.000000
OGN-USDT,1487,51933.585743,22552.000000,223946.900000,273871.000000
WAVES-USDT,1474,211411.220488,170236.500000,477244.100000,519310.000000
ONE-USDT,1472,25404.046196,22967.000000,57029.500000,74875.000000
SCRT-USDT,1461,70319.859001,46071.000000,224264.000000,257972.000000
MANTRA-USDT,1438,93858.973574,61571.500000,297520.900000,322542.000000
WBTC-USDT,1430,105848.104895,80231.500000,265490.950000,292201.000000
KRL-USDT,1428,302286.021709,302613.500000,624812.950000,662698.000000
ANKR-USDT,1407,48013.227434,29921.000000,155196.000000,193708.000000
CKB-USDT,1397,16182.771654,11262.000000,50335.600000,65496.000000
BDX-USDT,1189,8697.902439,3491.000000,42166.800000,65719.000000
SOL-USDT,1030,192.330097,0.000000,620.000000,20350.000000
SUI-USDT,895,225.432402,0.000000,581.400000,16537.000000
SHIB-USDT,845,3949.211834,1182.000000,17727.600000,46000.000000
CSPR-USDT,766,37032.433420,18878.000000,124471.250000,182602.000000
ENJ-USDT,732,2187.953552,289.000000,10742.650000,22966.000000
ZIL-USDT,664,60548.810241,29433.500000,234627.200000,293628.000000
PEPE-USDT,625,253.572800,0.000000,1174.800000,20097.000000
NFT-USDT,623,10812.834671,5818.000000,37898.100000,61087.000000
STORJ-USDT,618,18956.186084,8696.500000,91327.700000,118539.000000
MANA-USDT,580,41682.124138,29696.000000,112298.050000,154954.000000
IOST-USDT,556,47314.541367,32044.000000,145219.250000,163261.000000
ICX-USDT,499,113598.611222,82611.000000,335219.200000,364342.000000
HYPE-USDT,413,622.941889,0.000000,3702.800000,25029.000000
