symbol,count,mean_age_ms,p50_age_ms,p95_age_ms,max_age_ms
ETH-EUR,13532,14.692876,0.000000,62.000000,6107.000000
BTC-EUR,12939,139.592627,0.000000,161.000000,13101.000000
CRO-BTC,8410,22113.657907,7332.000000,93253.000000,180273.000000
XMR-BTC,7262,4626.970118,2340.000000,16527.350000,39068.000000
ZEC-BTC,6274,1775.428275,612.000000,7262.900000,19812.000000
AAVE-BTC,5868,7038.338957,2348.500000,30634.650000,66295.000000
XMR-ETH,5662,2258.870540,924.000000,9513.650000,19536.000000
TRAC-BTC,5430,3177.596501,1094.500000,14612.650000,29720.000000
TEL-BTC,5412,1352.918145,471.500000,5478.450000,15538.000000
BCH-BTC,5369,2063.175824,790.000000,9975.000000,22678.000000
DAG-ETH,5105,655.510676,164.000000,2814.200000,8492.000000
WAN-BTC,5076,1769.763987,843.500000,7698.750000,25077.000000
XRP-BTC,4986,20132.276976,13278.000000,77553.750000,115495.000000
DASH-BTC,4864,1153.028577,404.000000,5100.550000,10992.000000
ADA-BTC,4691,7436.565764,4188.000000,26684.000000,50849.000000
LINK-BTC,4606,4550.061224,1901.500000,16626.750000,37449.000000
HBAR-BTC,4470,5827.606711,3531.000000,19726.250000,34502.000000
TWT-BTC,4457,12837.649989,10630.000000,33851.600000,82791.000000
BNB-BTC,4442,8756.811346,2641.000000,41639.000000,60453.000000
FET-BTC,4371,3523.226722,1416.000000,14218.000000,24112.000000
A-BTC,4204,6846.100618,2121.500000,26828.850000,37400.000000
ETH-BTC,4197,11725.069097,4440.000000,51689.800000,73018.000000
AVAX-BTC,4098,6121.864080,2895.000000,24380.000000,42260.000000
TRAC-ETH,4071,1288.394989,123.000000,6045.000000,29531.000000
TRX-BTC,4048,16039.411314,7833.000000,72785.300000,107445.000000
DOT-BTC,4014,3978.148729,1537.500000,16389.350000,33167.000000
XLM-BTC,4008,7755.763723,4500.500000,27709.650000,44825.000000
ATOM-BTC,3950,5837.480253,2532.000000,22461.350000,42223.000000
ONT-ETH,3865,1701.482018,61.000000,10126.400000,42271.000000
KLV-BTC,3840,18328.141667,10200.000000,65155.400000,99964.000000
DOGE-BTC,3838,13597.826733,8894.500000,44090.200000,61327.000000
SNX-BTC,3819,5345.984289,2534.000000,19969.200000,29441.000000
LTC-BTC,3764,15618.547556,8553.500000,67627.850000,101545.000000
TEL-ETH,3725,712.351141,101.000000,3835.800000,13936.000000
KAS-BTC,3690,11611.344986,6594.500000,43241.550000,60151.000000
ETC-BTC,3688,6585.987798,2800.500000,25214.650000,40266.000000
LYX-ETH,3570,621.156303,97.000000,2843.000000,9829.000000
POND-BTC,3558,153400.927768,135097.500000,356697.900000,398075.000000
NEAR-BTC,3536,11299.761595,5894.000000,45506.250000,63593.000000
INJ-BTC,3468,5064.574106,2860.000000,17660.900000,24902.000000
CHZ-BTC,3444,12021.212253,7908.000000,41147.850000,55263.000000
NEO-BTC,3423,6999.453111,3889.000000,25590.800000,44603.000000
XDC-BTC,3386,13028.417307,9081.500000,40379.750000,54885.000000
ICP-BTC,3376,9417.987855,5648.500000,31481.250000,46743.000000
DASH-ETH,3361,1285.843201,224.000000,5946.000000,22600.000000
FET-ETH,3292,1678.296780,20.500000,9643.000000,46383.000000
EWT-BTC,3258,46426.281154,31001.000000,139402.150000,183703.000000
XRP-ETH,3252,23722.234317,9435.000000,114049.000000,140144.000000
KNC-BTC,3242,8679.977483,4902.500000,29036.900000,41799.000000
RUNE-BTC,3164,11713.430468,7458.000000,38761.700000,60729.000000
BCHSV-BTC,3156,14845.192015,10077.500000,49804.000000,60495.000000
IOTX-BTC,3098,17178.455132,7549.000000,79349.150000,119511.000000
ONT-BTC,3095,4809.031018,1653.000000,20723.500000,36273.000000
RSR-BTC,3076,25858.480494,23415.000000,58195.000000,73844.000000
XTZ-BTC,3070,12741.155049,8997.000000,39270.050000,59309.000000
VET-BTC,3066,12094.152968,9600.000000,34067.000000,59383.000000
STX-BTC,3062,130065.396799,107088.500000,299836.700000,328731.000000
RLC-BTC,3060,26417.057190,23787.500000,57141.050000,60708.000000
COTI-BTC,3033,18034.590504,13212.000000,53461.000000,67001.000000
PAXG-BTC,3024,36371.471230,27671.500000,95991.150000,134798.000000
EGLD-BTC,3010,21750.945183,13091.000000,80225.650000,105959.000000
AR-BTC,3002,111476.250833,58673.500000,335512.000000,374864.000000
CKB-BTC,2975,35226.126050,32897.000000,85878.300000,119416.000000
OGN-BTC,2974,75418.221587,66226.500000,173938.350000,225941.000000
ONE-BTC,2969,20023.674975,15918.000000,52972.600000,59968.000000
BDX-BTC,2968,13698.212601,8961.000000,44006.650000,68352.000000
WAVES-BTC,2948,41627.642130,29187.000000,116338.200000,137444.000000
SCRT-BTC,2936,73377.602520,56329.500000,223584.250000,262829.000000
WIN-BTC,2934,23522.027607,17059.500000,62078.500000,86771.000000
KCS-BTC,2934,203596.408657,131490.500000,492938.000000,533328.000000
MANTRA-BTC,2883,87024.019771,60433.000000,238963.900000,279445.000000
WBTC-BTC,2860,366358.233566,369323.000000,693956.050000,734983.000000
KRL-BTC,2856,366067.560224,369325.000000,694065.500000,734984.000000
XYO-BTC,2856,366087.328081,369546.500000,694179.250000,735206.000000
IOTA-BTC,2833,21941.739146,18993.000000,54725.400000,61724.000000
ANKR-BTC,2753,14045.820923,9468.000000,41650.000000,53603.000000
A-ETH,2390,3397.605858,298.500000,18923.600000,28265.000000
XLM-ETH,2305,4872.911931,1178.000000,20715.800000,41318.000000
ALGO-BTC,2262,13257.950486,8136.000000,46003.900000,60566.000000
AVA-BTC,2226,17435.329739,11694.000000,52815.750000,60775.000000
TRX-ETH,2179,10126.952731,4158.000000,40919.100000,56871.000000
ETC-ETH,2152,3577.362918,299.000000,18536.900000,51292.000000
KLV-TRX,2129,8001.025364,693.000000,43557.000000,101261.000000
XRP-KCS,2070,25129.652174,23449.000000,55671.700000,63156.000000
SOL-KCS,2060,11168.197573,7169.500000,33375.000000,55875.000000
ETH-BRL,2025,60491.841975,40261.000000,173239.600000,210343.000000
LTC-ETH,1983,10179.356026,4666.000000,40782.600000,74342.000000
BTC-BRL,1948,243906.608830,199982.500000,529249.300000,559728.000000
ENJ-ETH,1924,4915.385135,1442.000000,22274.000000,48496.000000
ATOM-ETH,1884,4988.105096,2250.500000,20339.000000,33307.000000
SUI-KCS,1790,9665.472626,4953.000000,33336.550000,56963.000000
SNX-ETH,1711,3490.992402,1581.000000,12597.500000,15276.000000
SHIB-DOGE,1690,4378.187574,750.000000,21363.550000,50968.000000
ADA-KCS,1670,8032.461677,2500.500000,32398.500000,41046.000000
XDC-ETH,1560,10324.421154,6395.500000,35336.450000,55846.000000
ERG-BTC,1557,375513.562620,379886.000000,707689.200000,749143.000000
AVA-ETH,1542,11750.666018,4762.500000,42321.850000,58950.000000
CSPR-ETH,1533,8123.125245,1913.000000,38249.000000,63372.000000
ALGO-ETH,1468,4761.893733,1582.000000,19786.400000,29102.000000
ZIL-ETH,1360,6774.498529,1726.500000,27601.700000,47463.000000
BCHSV-ETH,1349,7449.371386,2990.000000,28917.000000,42115.000000
KNC-ETH,1267,8514.490923,3460.000000,30588.600000,44717.000000
IOTX-ETH,1261,7839.862014,3026.000000,33281.000000,45143.000000
PEPE-KCS,1250,10044.525600,4374.000000,31099.000000,57609.000000
STORJ-ETH,1236,34007.076052,22691.500000,113895.500000,125957.000000
NFT-TRX,1221,10023.488124,5930.000000,31530.000000,46415.000000
MANA-ETH,1161,11171.292851,6785.000000,37551.000000,51164.000000
VET-ETH,1135,27119.296916,25361.000000,58183.300000,93335.000000
IOST-ETH,1113,41690.401617,22625.000000,124374.000000,150756.000000
XYO-ETH,1057,25046.021760,21566.000000,65410.000000,103993.000000
WIN-TRX,1018,17301.820236,14557.000000,54604.000000,60705.000000
